D0,D1,D2,D3,date,value
AV1,KC5A,T1,B,2008-09-01,242458
AV1,KC5A,T1,B,2008-10-01,238186
AV1,KC5A,T1,B,2008-11-01,246389
AV1,KC5A,T1,B,2008-12-01,241173
AV1,KC5A,T1,B,2009-01-01,243470
AV1,KC5A,T1,B,2009-02-01,243724
AV1,KC5A,T1,B,2009-03-01,223977
AV1,KC5A,T1,B,2009-04-01,223249
AV1,KC5A,T1,B,2009-05-01,223943
AV1,KC5A,T1,B,2009-06-01,226242
AV1,KC5A,T1,B,2009-07-01,225354
AV1,KC5A,T1,B,2009-08-01,224954
AV1,KC5A,T1,B,2009-09-01,221130
AV1,KC5A,T1,B,2009-10-01,219973
AV1,KC5A,T1,B,2009-11-01,218671
AV1,KC5A,T1,B,2009-12-01,217072
AV1,KC5A,T1,B,2010-01-01,222697
AV1,KC5A,T1,B,2010-02-01,221004
AV1,KC5A,T1,B,2010-03-01,222257
AV1,KC5A,T1,B,2010-04-01,224582
